emisor,emisor_key,fecha,E_market,sigma_E,DP,dp_metodo,dp_proxy,num_acciones,close,pasivo_corriente,pasivo_no_corriente,pasivo_total,patrimonio,activo_total,ingreso_neto,eps,V_A,sigma_A,DD,PD
Cementos Argos,CEMARGOS,2021-06-30,336515881.43349767,0.32726152014519,6286289198.5,std+0.5*ltd,False,83682.09042553192,4021.36083984375,3015736072.0,6541106253.0,9556842325.0,9394806640.0,18951648965.0,15732233.0,188.0,6316194107.929009,0.01745037090310019,3.128508107640082,0.0008784808186055068
Cementos Argos,CEMARGOS,2021-09-30,16664563583.090593,0.2560425441240873,6269950684.5,std+0.5*ltd,False,3709916.697674419,4491.89697265625,3033080233.0,6473740903.0,9506821136.0,9544646064.0,19051467200.0,319052836.0,86.0,22628725164.35516,0.1885584462024804,6.977542070156912,1.501944422895714e-12
Cementos Argos,CEMARGOS,2021-12-31,6628528653.96441,0.21001315602112264,6424834579.5,std+0.5*ltd,False,1423737.421195652,4655.72412109375,3484671611.0,5880325937.0,9364997548.0,10204805247.0,19569802795.0,523935371.0,368.0,12740020353.533255,0.10926813174344402,6.668070458879833,1.2959417719187107e-11
Ecopetrol,ECOPETROL,2017-03-31,2.3638518558365668e+16,0.3848078175132533,46081050425.0,std+0.5*ltd,False,41202328046511.625,573.7180319442414,17080957730.7,58000185388.6,75081143119.3,45416400908.9,120497544028.2,885850053.0,2.15e-05,2.3638562392016744e+16,0.38480710395329465,34.10526920077278,3.081007880277033e-255
Ecopetrol,ECOPETROL,2017-06-30,2.499730413008548e+16,0.36501000264011607,41614319346.45,std+0.5*ltd,False,41099425699812.38,608.2154118810373,14512682789.2,54203273114.5,68715955903.7,46978412621.6,115694368525.3,2190599389.8,5.33e-05,2.4997343714850524e+16,0.36500942462529345,36.407881457563306,1.5972510387868022e-290
Ecopetrol,ECOPETROL,2017-09-30,2.9630210939644216e+16,0.31854490343943526,42258882613.4,std+0.5*ltd,False,48639003052767.05,609.1862308012205,16151645327.0,52214474572.8,68366119899.8,47902341603.7,116268461503.5,3779250537.2,7.77e-05,2.9630251137536804e+16,0.31854447128535884,42.25393233107657,0.0
Ecopetrol,ECOPETROL,2017-12-31,3.9455313590653656e+16,0.2908572083181347,43869919055.4,std+0.5*ltd,False,41120570500000.0,959.5030689239502,16846610698.2,54046616714.4,70893227412.6,49781305417.7,120674532830.3,6620411850.5,0.000161,3.945535532101151e+16,0.29085690069005,47.16117298460857,0.0
Ecopetrol,ECOPETROL,2018-03-31,4.8817912340348344e+16,0.34039876326606544,,sin_dato,True,41113267987421.38,1187.4004361629486,,,,,,2614803844.0,6.36e-05,,,,
Ecopetrol,ECOPETROL,2018-06-30,5.643089857335733e+16,0.3605568665563204,44101230036.25,std+0.5*ltd,False,41113948103887.41,1372.5487620592116,18857029562.6,50488400947.3,69345430509.9,52237740466.9,121583170976.8,6134201057.1,0.0001492,5.643094052374499e+16,0.36055659852073235,38.95932014589232,0.0
Ecopetrol,ECOPETROL,2018-09-30,7.491463356865966e+16,0.3910693625108396,45327478662.45,std+0.5*ltd,False,41112383676511.305,1822.1914389133453,21942867936.3,46769221452.3,68712089388.6,55169874921.5,123881964310.1,8909053542.7,0.0002167,7.49146766854911e+16,0.39106913743249005,36.544636318850145,1.0848101290464205e-292
Ecopetrol,ECOPETROL,2018-12-31,4.805421689458242e+16,0.434696272994279,42380402256.35,std+0.5*ltd,False,41111366519388.12,1168.8790950775146,17824622248.8,49111560015.1,66936182263.9,59304438015.8,126240620279.7,11556405128.6,0.0002811,4.805425720806806e+16,0.4346959083206168,31.9687273613443,1.4838254232419137e-224
Ecopetrol,ECOPETROL,2019-03-31,70807018855.52019,0.4172257782702865,51145539219.5,std+0.5*ltd,False,45648287.29850746,1551.1429463386535,26783928348.0,48723221743.0,75507150091.0,52667243391.0,128174393482.0,3058435249.0,67.0,119457517926.66812,0.24732698477485254,3.5083119333972514,0.00022547997573874447
Ecopetrol,ECOPETROL,2019-06-30,103257503337.15677,0.4078072651263539,44038084600.5,std+0.5*ltd,False,72461997.6627907,1424.988361729635,19892652282.0,48290864637.0,68183516918.0,56934296645.0,125117813564.0,6231731799.0,86.0,145147781294.74054,0.29011369939652815,4.138427827845798,1.7484691882372172e-05
Ecopetrol,ECOPETROL,2019-09-30,191871703937.92084,0.3932863541839005,44247825804.5,std+0.5*ltd,False,135922507.5882353,1411.625692774728,18863212721.0,50769226167.0,69632438888.0,61363623323.0,130996062211.0,9242730516.0,68.0,233961537520.9967,0.3225338887773453,5.157090462631233,1.2540832236594948e-07
Ecopetrol,ECOPETROL,2019-12-31,63821841417.53726,0.33353396985137185,48423097037.5,std+0.5*ltd,False,38924942.571428575,1639.6129885207163,21742298513.0,53361597049.0,75103895562.0,60344122106.0,135448017668.0,12533831508.0,322.0,109883306047.87907,0.19372187847999503,4.3912332501627205,5.635477531364692e-06
Ecopetrol,ECOPETROL,2020-03-31,44116944689.46729,0.6673678539330296,59532782529.0,std+0.5*ltd,False,45648287.313432835,966.453448440443,28911356435.0,61242852188.0,90154208623.0,56379927744.0,146534136367.0,3058435250.0,67.0,100512576770.776,0.2986565925952804,1.7717936484162906,0.03821440865308521
Ecopetrol,ECOPETROL,2020-06-30,222735838051.06076,0.7395942067296658,59065859594.5,std+0.5*ltd,False,195465979.25,1139.5120465755463,26618636579.0,64894446031.0,91513082610.0,55636719664.0,147149802274.0,781863917.0,4.0,278847368519.612,0.5915564753976965,2.4123511579798125,0.00792500378415325
Ecopetrol,ECOPETROL,2020-09-30,4243337306.0086594,0.7437931633373922,55216103314.5,std+0.5*ltd,False,4058655.3955555554,1045.5032251950586,21324712125.0,67782782379.0,89107494504.0,57173101202.0,146280595706.0,913197464.0,225.0,56565552071.88009,0.06291535477440677,1.1470390838735591,0.12568273407504188
Ecopetrol,ECOPETROL,2020-12-31,6330488845.194589,0.7573887201816197,50940146234.0,std+0.5*ltd,False,5242474.133540372,1207.5384034216404,18282443130.0,65315406208.0,83597849338.0,55819270853.0,139417120191.0,1688076671.0,322.0,54498078747.92906,0.0985353482917288,1.1433409733670552,0.12644852473133028
Ecopetrol,ECOPETROL,2021-03-31,53781645182.11151,0.4995151393145045,54371918050.5,std+0.5*ltd,False,41145667.25333333,1307.1034879803658,19963176308.0,68817483485.0,88780659793.0,58151920036.0,146932579829.0,3085925044.0,75.0,105487270645.86436,0.2551174489481511,2.666223052971683,0.003835438974273276
Ecopetrol,ECOPETROL,2021-06-30,114393523857.69919,0.3815302972899506,53994404204.0,std+0.5*ltd,False,75429026.75,1516.571653997898,19329668621.0,69329471166.0,88659139787.0,62595113595.0,151254253382.0,301716107.0,4.0,165754568510.9109,0.2633091588718656,4.317973306745883,7.873423442396214e-06
Ecopetrol,ECOPETROL,2021-09-30,18649821925.104263,0.3786847065199539,87663392522.5,std+0.5*ltd,False,12304904.838709677,1515.6412966668606,27880970015.0,119564845015.0,147445815030.0,93787891899.0,241233706929.0,1144356150.0,93.0,102034486090.24518,0.06932757710199221,2.8762479776090824,0.002012167088323172
Ecopetrol,ECOPETROL,2021-12-31,100139395699.28801,0.346676619490247,90373377071.5,std+0.5*ltd,False,69323475.29268293,1444.523594301939,30248731250.0,120249291643.0,150498022893.0,93752071300.0,244250094193.0,2842262487.0,41.0,186105121858.96753,0.18654180964564016,4.047151900195642,2.592229963683548e-05
Grupo Nutresa,GRUPONUTRESA,2017-03-31,9277494161.487192,0.1335097035450633,3799400286.5,std+0.5*ltd,False,501528.6885787977,18498.431640625,2077402030.0,3443996513.0,5521398543.0,8314694624.0,13836093167.0,151672306.0,302.42,12891595509.462435,0.09608085315987862,13.188023902451116,5.142295513487747e-40
Grupo Nutresa,GRUPONUTRESA,2017-06-30,9273553242.088966,0.1158583269259667,3705653922.5,std+0.5*ltd,False,460311.41015625,20146.259765625,1982580490.0,3446146865.0,5428727355.0,8645030872.0,14073758227.0,235679442.0,512.0,12798480290.187454,0.08394890166069595,15.318163330178358,2.891429345689199e-53
Grupo Nutresa,GRUPONUTRESA,2017-09-30,9555471356.7125,0.10914786818854694,3769254633.5,std+0.5*ltd,False,464008.4666666667,20593.3125,2129103360.0,3280302547.0,5409405907.0,8800441728.0,14209847635.0,327125969.0,705.0,13140897272.533354,0.0793674363699539,16.32536577498423,3.257452946802959e-60
Grupo Nutresa,GRUPONUTRESA,2017-12-31,9301346142.094357,0.09975973651460211,3657128143.5,std+0.5*ltd,False,433444.08981380065,21459.16015625,1954960255.0,3404335777.0,5359296032.0,8950180144.0,14309476176.0,395734454.0,913.0,12780114041.361227,0.07260497342695167,17.88550275273803,7.648360567494676e-72
Grupo Nutresa,GRUPONUTRESA,2018-03-31,9170183231.57792,0.09072960742328046,3707060286.5,std+0.5*ltd,False,460123.45800000033,19929.83203125,2065944834.0,3282230905.0,5348175739.0,8220208751.0,13568384490.0,120866871.0,262.68356654835,12696448054.494768,0.06553069969093196,19.51659232102998,3.9678845748315176e-85
