fecha,close,emisor
2016-02-02,17537.908203125,GRUPONUTRESA
2016-02-03,17419.50390625,GRUPONUTRESA
2016-02-04,17419.50390625,GRUPONUTRESA
2016-02-05,17537.908203125,GRUPONUTRESA
2016-02-08,17611.896484375,GRUPONUTRESA
2016-02-09,17642.708984375,GRUPONUTRESA
2016-02-10,18072.654296875,GRUPONUTRESA
2016-02-11,18087.4765625,GRUPONUTRESA
2016-02-12,18102.298828125,GRUPONUTRESA
2016-02-15,18087.4765625,GRUPONUTRESA
2016-02-16,18087.4765625,GRUPONUTRESA
2016-02-17,17568.5859375,GRUPONUTRESA
2016-02-18,18131.94921875,GRUPONUTRESA
2016-02-19,18102.298828125,GRUPONUTRESA
2016-02-22,18087.4765625,GRUPONUTRESA
2016-02-23,18087.4765625,GRUPONUTRESA
2016-02-24,18161.611328125,GRUPONUTRESA
2016-02-25,18146.783203125,GRUPONUTRESA
2016-02-26,18161.611328125,GRUPONUTRESA
2016-02-29,17983.703125,GRUPONUTRESA
2016-03-01,17983.703125,GRUPONUTRESA
2016-03-02,18532.25390625,GRUPONUTRESA
2016-03-03,18739.814453125,GRUPONUTRESA
2016-03-04,18947.375,GRUPONUTRESA
2016-03-07,19051.162109375,GRUPONUTRESA
2016-03-08,19051.162109375,GRUPONUTRESA
2016-03-09,18933.51953125,GRUPONUTRESA
2016-03-10,18888.974609375,GRUPONUTRESA
2016-03-11,19007.775390625,GRUPONUTRESA
2016-03-14,18725.625,GRUPONUTRESA
2016-03-15,18725.625,GRUPONUTRESA
2016-03-16,18725.625,GRUPONUTRESA
2016-03-17,18636.525390625,GRUPONUTRESA
2016-03-18,18042.53125,GRUPONUTRESA
2016-03-21,18042.53125,GRUPONUTRESA
2016-03-22,18339.525390625,GRUPONUTRESA
2016-03-23,18339.525390625,GRUPONUTRESA
2016-03-24,18339.525390625,GRUPONUTRESA
2016-03-25,18339.525390625,GRUPONUTRESA
2016-03-28,18339.525390625,GRUPONUTRESA
2016-03-29,18562.275390625,GRUPONUTRESA
2016-03-30,18562.275390625,GRUPONUTRESA
2016-03-31,18666.224609375,GRUPONUTRESA
2016-04-01,18933.51953125,GRUPONUTRESA
2016-04-04,18488.029296875,GRUPONUTRESA
2016-04-05,18488.029296875,GRUPONUTRESA
2016-04-06,18562.275390625,GRUPONUTRESA
2016-04-07,18785.021484375,GRUPONUTRESA
2016-04-08,18814.720703125,GRUPONUTRESA
2016-04-11,19249.703125,GRUPONUTRESA
2016-04-12,19249.703125,GRUPONUTRESA
2016-04-13,19428.21484375,GRUPONUTRESA
2016-04-14,19487.720703125,GRUPONUTRESA
2016-04-15,19338.958984375,GRUPONUTRESA
2016-04-18,19190.19921875,GRUPONUTRESA
2016-04-19,19190.19921875,GRUPONUTRESA
2016-04-20,19100.939453125,GRUPONUTRESA
2016-04-21,19190.19921875,GRUPONUTRESA
2016-04-22,19413.3359375,GRUPONUTRESA
2016-04-25,19041.427734375,GRUPONUTRESA
2016-04-26,19041.427734375,GRUPONUTRESA
2016-04-27,18967.052734375,GRUPONUTRESA
2016-04-28,18967.052734375,GRUPONUTRESA
2016-04-29,18967.052734375,GRUPONUTRESA
2016-05-02,19190.19921875,GRUPONUTRESA
2016-05-03,19190.19921875,GRUPONUTRESA
2016-05-04,18773.669921875,GRUPONUTRESA
2016-05-05,18595.15234375,GRUPONUTRESA
2016-05-06,18520.779296875,GRUPONUTRESA
2016-05-09,18520.779296875,GRUPONUTRESA
2016-05-10,18792.61328125,GRUPONUTRESA
2016-05-11,18792.61328125,GRUPONUTRESA
2016-05-12,19299.302734375,GRUPONUTRESA
2016-05-13,19567.546875,GRUPONUTRESA
2016-05-16,19224.7890625,GRUPONUTRESA
2016-05-17,19224.7890625,GRUPONUTRESA
2016-05-18,19209.88671875,GRUPONUTRESA
2016-05-19,18658.47265625,GRUPONUTRESA
2016-05-20,19209.88671875,GRUPONUTRESA
2016-05-23,18777.701171875,GRUPONUTRESA
2016-05-24,18777.701171875,GRUPONUTRESA
2016-05-25,18762.80078125,GRUPONUTRESA
2016-05-26,18718.087890625,GRUPONUTRESA
2016-05-27,18643.572265625,GRUPONUTRESA
2016-05-30,18822.408203125,GRUPONUTRESA
2016-05-31,19001.240234375,GRUPONUTRESA
2016-06-01,19001.240234375,GRUPONUTRESA
2016-06-02,19254.591796875,GRUPONUTRESA
2016-06-03,19224.7890625,GRUPONUTRESA
2016-06-06,19209.88671875,GRUPONUTRESA
2016-06-07,19135.369140625,GRUPONUTRESA
2016-06-08,19135.369140625,GRUPONUTRESA
2016-06-09,19183.74609375,GRUPONUTRESA
2016-06-10,19138.958984375,GRUPONUTRESA
2016-06-13,18989.666015625,GRUPONUTRESA
2016-06-14,18989.666015625,GRUPONUTRESA
2016-06-15,18616.439453125,GRUPONUTRESA
2016-06-16,18720.94921875,GRUPONUTRESA
2016-06-17,18735.875,GRUPONUTRESA
2016-06-20,18706.01171875,GRUPONUTRESA
2016-06-21,18706.01171875,GRUPONUTRESA
2016-06-22,18616.439453125,GRUPONUTRESA
2016-06-23,18735.875,GRUPONUTRESA
2016-06-24,18825.451171875,GRUPONUTRESA
2016-06-27,18646.296875,GRUPONUTRESA
2016-06-28,18646.296875,GRUPONUTRESA
2016-06-29,18661.220703125,GRUPONUTRESA
2016-06-30,18706.01171875,GRUPONUTRESA
2016-07-01,18735.875,GRUPONUTRESA
2016-07-04,18735.875,GRUPONUTRESA
2016-07-05,18541.796875,GRUPONUTRESA
2016-07-06,18541.796875,GRUPONUTRESA
2016-07-07,18661.220703125,GRUPONUTRESA
2016-07-08,18661.220703125,GRUPONUTRESA
2016-07-11,18604.990234375,GRUPONUTRESA
2016-07-12,18604.990234375,GRUPONUTRESA
2016-07-13,18904.111328125,GRUPONUTRESA
2016-07-14,18934.0234375,GRUPONUTRESA
2016-07-15,19143.40234375,GRUPONUTRESA
2016-07-18,19218.18359375,GRUPONUTRESA
2016-07-19,19218.18359375,GRUPONUTRESA
2016-07-20,19068.623046875,GRUPONUTRESA
2016-07-21,19203.21875,GRUPONUTRESA
2016-07-22,19203.21875,GRUPONUTRESA
2016-07-25,19083.58203125,GRUPONUTRESA
2016-07-26,19083.58203125,GRUPONUTRESA
2016-07-27,19113.490234375,GRUPONUTRESA
2016-07-28,19128.44921875,GRUPONUTRESA
2016-07-29,19083.58203125,GRUPONUTRESA
2016-08-01,18799.416015625,GRUPONUTRESA
2016-08-02,18799.416015625,GRUPONUTRESA
2016-08-03,18799.416015625,GRUPONUTRESA
2016-08-04,18814.37109375,GRUPONUTRESA
2016-08-05,18919.0625,GRUPONUTRESA
2016-08-08,18889.15625,GRUPONUTRESA
2016-08-09,18922.701171875,GRUPONUTRESA
2016-08-10,19042.572265625,GRUPONUTRESA
2016-08-11,19117.490234375,GRUPONUTRESA
2016-08-12,19147.44921875,GRUPONUTRESA
2016-08-15,19147.44921875,GRUPONUTRESA
2016-08-16,19477.052734375,GRUPONUTRESA
2016-08-17,19477.052734375,GRUPONUTRESA
2016-08-18,19387.171875,GRUPONUTRESA
2016-08-19,19477.052734375,GRUPONUTRESA
2016-08-22,19402.14453125,GRUPONUTRESA
2016-08-23,19402.14453125,GRUPONUTRESA
2016-08-24,19402.14453125,GRUPONUTRESA
2016-08-25,19537.0,GRUPONUTRESA
2016-08-26,19551.98046875,GRUPONUTRESA
2016-08-29,19477.052734375,GRUPONUTRESA
2016-08-30,19477.052734375,GRUPONUTRESA
2016-08-31,19596.919921875,GRUPONUTRESA
